,0,1
2962,-83.246056,35.338573
2963,-83.241912,35.336108
2964,-83.239394,35.335216
2977,-83.237855,35.347796
2976,-83.237127,35.344562
2975,-83.236351,35.34361
2965,-83.236224,35.337877
2966,-83.236209,35.33789
2967,-83.236125,35.33796
2974,-83.235879,35.34298
2973,-83.235144,35.342875
2972,-83.23441,35.342875
2971,-83.233728,35.342875
2968,-83.23357,35.341669
2970,-83.23336,35.342718
2969,-83.233256,35.342403
0,-83.16794,34.522973
3053,-83.164848,34.612513
3054,-83.164548,34.611854
1,-83.164156,34.525587
2,-83.161085,34.524931
3,-83.159562,34.524763
4,-83.156911,34.524848
5,-83.153104,34.527206
6,-83.152869,34.527685
7,-83.150834,34.528723
8,-83.148549,34.52847
9,-83.136986,34.526178
10,-83.135671,34.524768
11,-83.132583,34.524678
12,-83.127827,34.525288
13,-83.127813,34.525293
3043,-83.106742,34.585362
3042,-83.106545,34.585623
3044,-83.105484,34.583338
3045,-83.103354,34.582027
3046,-83.102739,34.57961
3051,-83.101461,34.565949
3050,-83.101252,34.567189
3052,-83.101137,34.565203
3049,-83.100247,34.572258
3047,-83.099586,34.575719
3048,-83.098937,34.574513
55,-83.025609,34.456143
56,-83.025483,34.456887
57,-83.023884,34.458098
54,-83.02375,34.454292
58,-83.023156,34.45966
59,-83.022988,34.460652
61,-83.022844,34.465186
60,-83.02277,34.463787
62,-83.022221,34.465571
53,-83.020844,34.451813
3200,-82.935909,34.511347
3201,-82.933779,34.509149
3141,-82.880615,34.531835
3142,-82.875643,34.528234
3143,-82.875072,34.527032
3144,-82.874911,34.52688
3145,-82.874904,34.526873
3146,-82.874002,34.526026
3147,-82.873296,34.523797
3148,-82.872903,34.523373
3149,-82.87018,34.522054
3150,-82.866539,34.519746
3151,-82.866149,34.519359
3152,-82.866143,34.519353
3155,-82.864929,34.514634
3153,-82.864814,34.518033
3154,-82.864523,34.516104
3156,-82.863445,34.513328
3157,-82.862532,34.513224
3158,-82.86084,34.514044
3159,-82.858645,34.514174
3161,-82.856342,34.509489
3160,-82.855851,34.511456
3162,-82.854288,34.506981
3163,-82.853612,34.506399
3164,-82.851833,34.506197
2787,-82.821821,34.357223
2788,-82.821742,34.357272
2789,-82.819771,34.357047
2790,-82.819171,34.356767
2791,-82.819054,34.356713
2792,-82.81715,34.354654
2793,-82.816963,34.354451
2794,-82.815634,34.353452
2795,-82.815628,34.353448
2796,-82.813395,34.351769
2797,-82.812182,34.351184
2798,-82.81218,34.351183
2799,-82.811679,34.350941
2800,-82.810258,34.350366
2801,-82.809072,34.349885
2802,-82.808561,34.349419
2803,-82.805659,34.34677
2804,-82.805656,34.346767
2805,-82.805589,34.346706
2806,-82.805429,34.346621
2807,-82.803938,34.345826
2808,-82.800765,34.344133
2809,-82.799261,34.342506
2810,-82.799077,34.342307
2811,-82.798675,34.341871
2812,-82.795515,34.337717
2814,-82.793737,34.331825
2813,-82.793726,34.334605
2815,-82.791835,34.3268
2816,-82.790953,34.324471
2817,-82.79095,34.324464
2818,-82.79006,34.322111
2819,-82.789918,34.321438
2820,-82.78942,34.319067
2821,-82.788424,34.313137
2822,-82.788117,34.312217
2823,-82.787152,34.31082
2824,-82.786504,34.309883
2825,-82.78498,34.307938
2826,-82.782126,34.303819
2829,-82.781813,34.301127
2828,-82.781652,34.302068
2827,-82.781643,34.30212
2830,-82.781528,34.300083
2831,-82.781298,34.299597
2832,-82.780393,34.297677
2833,-82.780067,34.296428
2834,-82.780019,34.296244
2835,-82.779884,34.29609
2836,-82.77405,34.289469
2837,-82.772407,34.288291
2838,-82.771642,34.286434
2839,-82.769317,34.28465
2840,-82.766753,34.28246
2841,-82.766148,34.282093
2842,-82.765211,34.281524
2843,-82.761803,34.279743
2844,-82.761369,34.279567
2845,-82.760038,34.279514
2846,-82.759679,34.279499
2847,-82.756841,34.277069
2848,-82.756441,34.276726
2849,-82.756319,34.276712
2850,-82.755834,34.276656
2851,-82.754141,34.275703
2852,-82.753228,34.274713
2853,-82.752773,34.273289
2854,-82.752725,34.273138
2855,-82.751593,34.271618
2856,-82.750571,34.270362
2857,-82.749134,34.267921
2859,-82.748971,34.264362
2858,-82.748849,34.266877
2860,-82.747965,34.261211
2861,-82.74792,34.261154
2862,-82.745551,34.258152
2863,-82.745041,34.255741
2864,-82.745039,34.255735
2865,-82.744472,34.253056
90,-82.673142,33.98524
91,-82.672241,33.985229
92,-82.669562,33.985197
93,-82.668259,33.985755
94,-82.664558,33.987339
95,-82.664052,33.987556
96,-82.662239,33.988232
97,-82.65881,33.990238
98,-82.656221,33.99095
99,-82.65499,33.990934
100,-82.653975,33.990563
101,-82.650881,33.987041
102,-82.649498,33.986121
103,-82.648309,33.984971
104,-82.645433,33.984147
105,-82.644809,33.983806
106,-82.644423,33.983573
107,-82.615959,33.919526
108,-82.615841,33.919643
111,-82.615438,33.924466
109,-82.615068,33.922145
112,-82.614967,33.927195
110,-82.614812,33.923633
113,-82.614407,33.927762
114,-82.6132,33.928507
115,-82.612402,33.928667
116,-82.611194,33.928527
117,-82.609941,33.927748
118,-82.608129,33.927537
119,-82.607008,33.927786
120,-82.605503,33.928916
34,-82.584683,33.640918
35,-82.584582,33.648628
33,-82.584498,33.640292
32,-82.584356,33.639811
31,-82.584295,33.639606
30,-82.584224,33.639529
36,-82.584047,33.650844
29,-82.583492,33.638725
28,-82.583262,33.638473
37,-82.5825,33.651802
27,-82.582424,33.637995
38,-82.58217,33.651738
14,-82.581978,33.632725
15,-82.581587,33.632776
39,-82.58114,33.651537
16,-82.58098,33.633015
40,-82.580866,33.651484
26,-82.580016,33.637712
44,-82.579895,33.647319
43,-82.579868,33.647476
41,-82.579833,33.65035
42,-82.57966,33.648684
45,-82.579659,33.646912
46,-82.579367,33.646466
17,-82.579027,33.63453
25,-82.578561,33.638005
24,-82.578426,33.638032
23,-82.57836,33.638025
18,-82.578144,33.635214
47,-82.577592,33.643758
22,-82.577523,33.637927
19,-82.577509,33.636052
20,-82.57735,33.636261
21,-82.577136,33.637501
48,-82.574753,33.64064
49,-82.57286,33.639152
50,-82.571807,33.639028
51,-82.570948,33.639561
52,-82.570864,33.63971
63,-82.55112,33.598425
64,-82.551041,33.598331
65,-82.549436,33.597916
66,-82.54878,33.598007
67,-82.54878,33.598007
68,-82.545978,33.598395
69,-82.540092,33.600488
70,-82.539233,33.60102
71,-82.538719,33.603998
72,-82.538418,33.603963
73,-82.535969,33.603928
74,-82.529997,33.60563
75,-82.529653,33.605843
76,-82.527784,33.608662
79,-82.527463,33.611409
77,-82.527312,33.609619
80,-82.527269,33.612526
78,-82.527076,33.610984
81,-82.518246,33.618553
82,-82.516699,33.61951
83,-82.514034,33.620715
84,-82.512358,33.620644
85,-82.51094,33.619084
86,-82.51051,33.618907
87,-82.507008,33.618747
88,-82.506535,33.618818
89,-82.502628,33.620175
121,-82.477492,33.603001
136,-82.475267,33.831329
128,-82.475188,33.612838
129,-82.474821,33.614948
122,-82.474806,33.602664
130,-82.474306,33.615266
123,-82.474119,33.603089
127,-82.474029,33.610676
131,-82.473403,33.61516
126,-82.473148,33.609559
125,-82.472633,33.608991
124,-82.472612,33.608229
137,-82.472503,33.831737
138,-82.472501,33.831738
